1418152099 1 0 0
1418152545 1 1 0
1418152637 2 1 0
1418152666 3 1 0
1418152755 4 1 0
1418152803 5 1 0
1418152892 6 1 0
1418152995 7 1 0
1418153048 8 1 0
1418153074 9 1 0
1418153089 10 1 0
1418153155 11 1 0
1418153182 12 1 0
1418937338 12 2 0
1418937381 12 3 0
1418937437 12 4 0
1419231691 12 5 0
1420356568 12 6 0
1420606742 12 7 0
1420607357 13 7 0
1420607490 14 7 0
1420607604 15 7 0
1420607620 16 7 0
1420607679 17 7 0
1420607747 18 7 0
1420870170 18 8 0
1420870184 18 9 0
1420870509 19 9 0
1420870545 20 9 0
1420870585 21 9 0
1420870604 22 9 0
1420950396 22 10 0
1421874362 22 11 0
1422397625 23 11 0
1422421815 23 12 0
1422422165 23 13 0
1422422213 24 13 0
1422422327 25 13 0
1422422364 26 13 0
1422422385 27 13 0
1422422443 28 13 0
1422422488 29 13 0
1422479603 30 13 0
1422518604 30 14 0
1422566980 30 15 0
1422568935 31 15 0
1422568967 32 15 0
1425414419 32 16 0
1425951391 32 16 1
1425969318 32 17 1
1425970479 32 18 1
1426040062 33 18 1
1426136782 33 19 1
1426136797 33 20 1
1426136915 34 20 1
1426360879 34 21 1
1426644767 34 22 1
1426659702 34 23 1
1426659926 34 24 1
1426665549 34 25 1
